DBID,z,lbol,lbol_err,lr_g,lr_r,lr_i,tau_o_g,tau_o_r,tau_o_i,tau_o_gl,tau_o_rl,tau_o_il,tau_o_gu,tau_o_ru,tau_o_iu,tau_r_g,tau_r_r, tau_r_i,tau_r_gl,tau_r_rl,tau_r_il,tau_r_gu,tau_r_ru,tau_r_iu,lr_g_o,lr_r_o,lr_i_o,skewa_g,skewloc_g,skewscale_g,skewa_r,skewloc_r,skewscale_r,skewa_i,skewloc_i,skewscale_i
2473677.0,1.917700052,46.492285628595475,0.02100268116499393,1634.8493385158977,2135.5862113820876,2613.3597916527715,3.568726154919389,3.689335121766743,4.017742562653718,0.3733083773726391,0.39892179813931206,0.440971599698865,0.6240362058452682,0.6101089364214927,0.4942996764090166,3.10368551179543,3.2242944786427845,3.5527019195297593,0.3733083773726391,0.3989217981393125,0.440971599698865,0.6240362058452682,0.6101089364214922,0.49429967640901706,1617.7125529968632,2198.649582092135,2685.3342908327168,0.0019455473385016154,3.6515236857105657,0.5014520012883255,0.0021987345426775413,3.7588408159649322,0.5073278179841826,0.0019090694359406328,4.034802306584869,0.4702423199914757
2474155.0,1.293099999,45.59678164730923,0.01921390644600507,2080.153504897368,2717.2822828124736,3325.1929716650793,3.3085367296499846,3.4525494250969104,3.32474519873096,0.2860047313852787,0.3223709359463989,0.28901105949410244,0.5450798184395955,0.6032068152717049,0.5498451943446176,2.9481137355101277,3.0921264309570535,2.9643222045911033,0.2860047313852787,0.32237093594639843,0.28901105949410244,0.5450798184395955,0.6032068152717049,0.5498451943446181,2058.348960820875,2797.5230050139653,3416.772056786347,0.0011840125376478806,3.394500334747093,0.41785828092960664,0.0016242069970541589,3.5455582998772956,0.4653683881625194,0.0010272543932505068,3.411344220558459,0.42176574370877984
2475121.0,2.013999939,46.31211460710822,0.02943468311057984,1582.6144978564978,2067.3523975144312,2529.8607015001667,3.1343472857891244,3.288323885719147,3.542325869117493,0.2932009758575709,0.3107146285938551,0.38718010184212837,0.5754754492556211,0.5846273473951213,0.6352619368538499,2.6552040466001476,2.8091806465301703,3.0631826299285163,0.2932009758575709,0.3107146285938551,0.38718010184212837,0.5754754492556211,0.5846273473951213,0.6352619368538499,1566.0252473548574,2128.400839360468,2599.5355536070565,0.0012453551942911176,3.2280047890664587,0.43675899810569163,0.001190052961975819,3.379200685491116,0.45016605998192394,0.0019429817021121023,3.6242228670008823,0.5140706715642342
2475129.0,1.907899976,46.320793285980876,0.025455929793121612,1640.3590355131253,2142.783469660856,2622.1672213391153,3.5548244467696377,3.662828632057384,3.754602093306013,0.3319217854873546,0.34549356858471425,0.3373735332125718,0.5833567706308016,0.5771132903447778,0.541703630968029,3.0912449828970656,3.1992491681848123,3.291022629433441,0.3319217854873546,0.3454935685847147,0.3373735332125718,0.5833567706308016,0.5771132903447769,0.541703630968029,1623.1644963568033,2206.059373756121,2694.384285795668,0.00199342623016737,3.6379041658446365,0.4601902790976942,7.700007837810897,3.162223745137006,0.7617230212393606,0.0020636636354771764,3.8219843645294915,0.44198872899548625
2475481.0,2.110100031,46.212192784461415,0.04941961117344107,1533.712727068231,2003.4725371828401,2451.6896318438703,3.757844174715332,4.045572222494455,3.9902417019332654,0.39853894409625923,0.4226094523993016,0.4115242574706137,0.5847142261247513,0.5040123236713381,0.5061295137486805,3.265069817131363,3.5527978649104863,3.4974673443492965,0.39853894409625923,0.4226094523993016,0.4115242574706137,0.5847142261247513,0.5040123236713372,0.5061295137486801,1517.6360737446648,2062.634621413564,2519.211575802849,0.002086226835691314,3.819079697879403,0.4943671070020006,0.0020756267415437245,4.071934946061511,0.4658935574221399,0.002359270163111682,4.020908266499857,0.46138474661961626
2477225.0,1.443199992,46.566341527220054,0.0053481962593266985,1952.3575702434757,2550.3438197457226,3120.907017422747,3.146292957270037,3.2741690863440724,3.1780388646656683,0.3046515903389948,0.33571260991998786,0.3294982751053279,0.6137828062202431,0.6038357341646132,0.6233500797347502,2.7583339389797423,2.886210068053778,2.7900798463753738,0.30465159033899525,0.3357126099199883,0.32949827510532836,0.6137828062202431,0.6038357341646132,0.6233500797347502,1931.892606194802,2625.654887444842,3206.8598664271767,0.0011714117649784229,3.2489050932342938,0.46177661960682054,0.0016687397872718877,3.362914492151577,0.47239264139886117,0.0011591201048658665,3.275546392318277,0.47907949070759126
2477355.0,1.686200023,46.19667645926154,0.016484956540949725,1775.7426696291857,2319.633663408691,2838.5823597321887,3.666913851658003,3.6878503009852968,3.8405945665157315,0.3504860092564308,0.37311659728102375,0.3657904795304123,0.5688476346548148,0.5767299178014631,0.5294560640497714,3.2377755031723625,3.258711952499657,3.411456218030091,0.35048600925643036,0.3731165972810242,0.3657904795304119,0.5688476346548148,0.5767299178014627,0.5294560640497714,1757.1290148112696,2388.1319131386217,2916.759709967436,8.932403713868975,3.159939068529818,0.7642283583711329,0.002349103933366993,3.754826287758867,0.4775708414900781,0.0023054332862396895,3.8943217807759627,0.45011864159850634
2477635.0,1.427899957,46.28765022996156,0.004949826108077815,1964.66085278653,2566.4154661871844,3140.574214360019,3.4048541154185363,3.920059283397709,3.8237685492205604,0.311056817912585,0.3854684595028628,0.36162330208547644,0.5625121206956849,0.5338716630074352,0.5587673708852754,3.019623327998015,3.534828495977188,3.4385377618000392,0.311056817912585,0.38546845950286235,0.36162330208547644,0.5625121206956849,0.5338716630074356,0.5587673708852754,1944.066923512038,2642.2011259173146,3227.0687173128854,0.0018116211453201789,3.4880376750907236,0.43921913308380556,3.397573917194853,3.42857236682275,0.7297491058685757,0.0021363692044803965,3.888694434041248,0.46276067982034785
2478255.0,1.438300014,46.098609534966066,0.013198612015305144,1956.281004229203,2555.4689596126127,3127.178754139973,3.4640505869266347,3.4185863946926367,3.5751965567451145,0.3516739826493871,0.36075524963127936,0.395958842721027,0.5905774028709185,0.6238474830214398,0.6576680218119102,3.0769634457720385,3.031499253538041,3.1881094155905187,0.35167398264938665,0.36075524963127936,0.395958842721027,0.590577402870919,0.6238474830214398,0.6576680218119106,1935.774914038121,2630.931371515794,3213.304332942517,0.0019893519231835534,3.5429330852389302,0.47375187624114645,0.0015749484509591583,3.5056617206927356,0.495045356329341,0.0015924462881799473,3.661759856845463,0.5297497884571558
2478562.0,1.294399977,46.67157952365707,0.0017973852526544931,2078.9749162379803,2715.7427050479782,3323.3089593950945,3.9495835523704934,3.725324321187604,3.6440668227301853,0.4198104862750722,0.38410816708215334,0.3773863505425674,0.4924802720337502,0.6102189976586043,0.602170669723058,3.588914422736332,3.364655191553443,3.283397693096024,0.4198104862750722,0.38410816708215334,0.3773863505425674,0.4924802720337498,0.6102189976586043,0.6021706697230576,2057.182726340308,2795.937963871414,3414.8361569653202,0.002028454495544948,3.9730644429557316,0.45868807626040997,0.0021867383699119038,3.7998223322670537,0.4999350403947837,0.0019402010813339777,3.718232501145109,0.49250863405198836
2479049.0,1.831699967,46.20521765266595,0.015651795498488497,1684.5004963762108,2200.4449880335787,2692.7287808948863,2.6362844013540543,3.0423684870798606,2.4905845344727155,0.17029189923537702,0.25311330932982923,0.5166610599600792,0.23786536334267883,0.40659576827296506,0.4717377315902951,2.1842371656058006,2.590321251331607,2.038537298724462,0.17029189923537746,0.25311330932982923,0.5166610599600794,0.23786536334267838,0.4065957682729646,0.4717377315902951,1666.8432584687034,2265.423623533206,2766.889180106418,0.0026190517914395127,2.658380048622078,0.20521640541350383,14.534392542009986,2.6760907429998766,0.5490833179178858,0.0010073950695027277,2.4752106517971075,0.49695373224320805
2479074.0,0.684099972,45.78788610338956,0.0057492529726062,2832.3734215940003,3699.899117390402,4527.640951709487,3.6149017779457693,3.7184579714540362,3.731042525899584,0.32144901024059447,0.34120173867109127,0.37235091882518656,0.565759982972367,0.5643090071901229,0.5573707808116417,3.3885339093099027,3.49209010281817,3.5046746572637177,0.321449010240594,0.3412017386710917,0.372350918825187,0.5657599829723674,0.5643090071901229,0.5573707808116417,2802.683972730332,3809.156289208703,4652.336636936896,0.002006206720656523,3.6956247298050178,0.4460772832224724,0.00195149629116539,3.7921181603240863,0.45527913420279553,0.0020550796861095676,3.791949323134711,0.46745215444058164
2480467.0,1.981400013,46.28463467569282,0.03392732113254482,1599.9194939293777,2089.9577288624637,2557.5233000443404,3.49167362201993,3.3996833856969175,3.1639221421798354,0.32927650654920093,0.3140321660083938,0.2503862736211917,0.5923204613650594,0.5901153429263255,0.48651220730344447,3.0172533729970694,2.9252631366740576,2.689501893156975,0.3292765065492005,0.31403216600839423,0.25038627362119126,0.5923204613650599,0.5901153429263255,0.4865122073034449,1583.148849338923,2151.673700955337,2627.9600073242505,0.001578657977965191,3.578771293687745,0.4633668849429803,0.0016385295969643617,3.4911167963130505,0.45459355480806063,0.002528392125492728,3.241883352798717,0.37050336086123425
